County,Category,Population
New Taipei,Municipality,3985698
Taichung,Municipality,2783298
Kaohsiung,Municipality,2776791
Taipei,Municipality,2683202
Taoyuan,Municipality,2181470
Tainan,Municipality,1886387
Changhua,County,1282934
Pingtung,County,830697
Yulin,County,691021
Miaoli,County,554652
Hsinchu County,County,551447
Chiayi County,County,511797
Nantou,County,501757
Yilan,County,456756
Hsinchu City,City,440409
Keelung,City,371669
Hualien,County,329462
Chiayi City,City,269364
Taitung,County,219686
Kinmen,County,137042
Penghu,County,103956
Lienkiang,County,12823
